magnitude,date_time,alert,tsunami,depth,latitude,longitude
7.2,2,3,1,22.0,16.3855,-97.9787
7.9,1,0,1,14.06,56.0039,-149.166
7.1,1,0,1,39.0,-15.7675,-74.7092
7.5,1,0,1,19.0,17.4825,-83.52
6.5,12,0,0,90.0,-7.4921,108.174
6.5,12,0,1,17.0,-54.2189,2.1628
7.0,11,0,1,10.0,-21.3246,168.671
6.6,11,0,1,13.0,-21.5027,168.598
6.5,11,3,1,19.36,9.5147,-84.4865
7.3,11,2,0,19.0,34.9109,45.9592
6.5,11,0,1,110.57,-4.2433,143.485
6.8,11,0,1,10.0,-15.3197,-173.168
6.6,11,0,1,22.0,-21.6484,168.859
6.7,10,0,1,24.0,-21.6971,169.148
6.7,10,0,0,553.81,-7.2168,123.074
6.5,10,0,1,119.0,52.3909,176.769
7.1,9,4,0,48.0,18.5499,-98.4887
8.2,9,2,1,47.39,15.0222,-93.8993
6.5,8,3,0,9.0,33.1926,103.855
6.6,7,3,0,7.0,36.9293,27.4139
7.7,7,0,1,10.0,54.4434,168.857
6.6,7,0,1,10.0,-49.4837,164.016
6.5,7,3,1,9.0,11.1269,124.629
6.8,6,3,1,38.12,13.7174,-90.9718
6.9,6,3,1,93.0,14.9091,-92.0092
6.8,6,0,1,5.0,54.0312,170.92
6.6,5,0,0,12.0,-1.2923,120.431
6.5,5,0,1,15.0,-56.414,-25.7432
6.8,5,0,1,169.0,-14.5884,167.377
6.9,4,0,1,26.0,5.5043,125.066
6.9,4,3,1,28.0,-33.0375,-72.0617
6.5,4,0,0,29.0,-22.6784,25.1558
6.6,3,3,1,17.0,56.9401,162.786
6.9,2,0,1,414.5,-23.2593,-178.804
6.5,2,0,0,595.98,-19.2814,-63.9047
6.5,2,3,1,15.0,9.9071,125.452
7.9,1,3,1,135.0,-6.2464,155.172
6.5,1,0,1,36.0,-10.3506,161.335
7.3,1,0,1,627.17,4.4782,122.617
6.9,1,0,1,12.0,-19.3733,176.052
7.6,12,3,1,38.0,-43.4064,-73.9413
6.7,12,0,0,152.0,-7.5082,127.921
7.9,12,3,1,94.54,-4.5049,153.522
6.9,12,0,1,19.73,-10.749,161.132
6.5,12,0,0,12.26,-10.8416,161.314
7.8,12,0,1,40.0,-10.6812,161.327
